sample_id	ENA sample id	sanger_sample_id	sanger_name	type	run	lane	tag	type	lanetag	lasonder	is_control	pass_filter
PfG.535	ERS1544650	3429STDY6396271	6A_SC_Pfal_2E	SC	19715	5	35	PfG	535	Female	FALSE	TRUE
PfG.536	ERS1544651	3429STDY6396272	6B_SC_Pfal_2E	SC	19715	5	36	PfG	536	Female	FALSE	TRUE
PfG.537	ERS1544652	3429STDY6396273	6C_SC_Pfal_2E	SC	19715	5	37	PfG	537	Female	FALSE	TRUE
PfG.538	ERS1544653	3429STDY6396274	6D_SC_Pfal_2E	SC	19715	5	38	NA	NA	NA	FALSE	FALSE
PfG.539	ERS1544654	3429STDY6396275	6E_SC_Pfal_5E	SC	19715	5	39	PfG	539	Female	FALSE	TRUE
PfG.540	ERS1544655	3429STDY6396276	6F_SC_Pfal_5E	SC	19715	5	40	NA	NA	NA	FALSE	FALSE
PfG.541	ERS1544656	3429STDY6396277	6G_SC_Pfal_5E	SC	19715	5	41	PfG	541	Female	FALSE	TRUE
PfG.542	ERS1544657	3429STDY6396278	6H_SC_Pfal_5E	SC	19715	5	42	PfG	542	Female	FALSE	TRUE
PfG.543	ERS1544658	3429STDY6396279	7A_SC_Pfal_2E	SC	19715	5	43	PfG	543	Female	FALSE	TRUE
PfG.544	ERS1544659	3429STDY6396280	7B_SC_Pfal_2E	SC	19715	5	44	PfG	544	Female	FALSE	TRUE
PfG.545	ERS1544660	3429STDY6396281	7C_SC_Pfal_2E	SC	19715	5	45	PfG	545	Female	FALSE	TRUE
PfG.546	ERS1544661	3429STDY6396282	7D_SC_Pfal_2E	SC	19715	5	46	NA	NA	NA	FALSE	FALSE
PfG.547	ERS1544662	3429STDY6396283	7E_SC_Pfal_5E	SC	19715	5	47	PfG	547	Female	FALSE	TRUE
PfG.548	ERS1544663	3429STDY6396284	7F_SC_Pfal_5E	SC	19715	5	48	PfG	548	Female	FALSE	TRUE
PfG.549	ERS1544664	3429STDY6396285	7G_SC_Pfal_5E	SC	19715	5	49	PfG	549	Female	FALSE	TRUE
PfG.550	ERS1544665	3429STDY6396286	7H_SC_Pfal_5E	SC	19715	5	50	PfG	550	Female	FALSE	TRUE
PfG.551	ERS1544666	3429STDY6396287	8A_SC_Pfal_2E	SC	19715	5	51	PfG	551	Female	FALSE	TRUE
PfG.552	ERS1544667	3429STDY6396288	8B_SC_Pfal_2E	SC	19715	5	52	PfG	552	Female	FALSE	TRUE
PfG.553	ERS1544668	3429STDY6396289	8C_SC_Pfal_2E	SC	19715	5	53	PfG	553	Female	FALSE	TRUE
PfG.554	ERS1544669	3429STDY6396290	8D_SC_Pfal_2E	SC	19715	5	54	NA	NA	NA	FALSE	FALSE
PfG.555	ERS1544670	3429STDY6396291	8E_SC_Pfal_5E	SC	19715	5	55	PfG	555	Female	FALSE	TRUE
PfG.556	ERS1544671	3429STDY6396292	8F_SC_Pfal_5E	SC	19715	5	56	NA	NA	NA	FALSE	FALSE
PfG.557	ERS1544672	3429STDY6396293	8G_SC_Pfal_5E	SC	19715	5	57	PfG	557	Female	FALSE	TRUE
PfG.558	ERS1544673	3429STDY6396294	8H_SC_Pfal_5E	SC	19715	5	58	NA	NA	NA	FALSE	FALSE
PfG.559	ERS1544674	3429STDY6396295	9A_SC_Pfal_2E	SC	19715	5	59	PfG	559	Female	FALSE	TRUE
PfG.560	ERS1544675	3429STDY6396296	9B_SC_Pfal_2E	SC	19715	5	60	PfG	560	Female	FALSE	TRUE
PfG.561	ERS1544676	3429STDY6396297	9C_SC_Pfal_2E	SC	19715	5	61	PfG	561	Female	FALSE	TRUE
PfG.562	ERS1544677	3429STDY6396298	9D_SC_Pfal_2E	SC	19715	5	62	NA	NA	NA	FALSE	FALSE
PfG.563	ERS1544678	3429STDY6396299	9E_SC_Pfal_5E	SC	19715	5	63	PfG	563	Female	FALSE	TRUE
PfG.564	ERS1544679	3429STDY6396300	9F_SC_Pfal_5E	SC	19715	5	64	PfG	564	Female	FALSE	TRUE
PfG.565	ERS1544680	3429STDY6396301	9G_SC_Pfal_5E	SC	19715	5	65	PfG	565	Female	FALSE	TRUE
PfG.566	ERS1544681	3429STDY6396302	9H_SC_Pfal_5E	SC	19715	5	66	PfG	566	Female	FALSE	TRUE
PfG.567	ERS1544682	3429STDY6396303	10A_SC_Pfal_2E	SC	19715	5	67	PfG	567	Female	FALSE	TRUE
PfG.568	ERS1544683	3429STDY6396304	10B_SC_Pfal_2E	SC	19715	5	68	PfG	568	Female	FALSE	TRUE
PfG.569	ERS1544684	3429STDY6396305	10C_SC_Pfal_2E	SC	19715	5	69	PfG	569	Female	FALSE	TRUE
PfG.570	ERS1544685	3429STDY6396306	10D_SC_Pfal_2E	SC	19715	5	70	PfG	570	Female	FALSE	TRUE
PfG.571	ERS1544686	3429STDY6396307	10E_SC_Pfal_5E	SC	19715	5	71	NA	NA	NA	FALSE	FALSE
PfG.572	ERS1544687	3429STDY6396308	10F_SC_Pfal_5E	SC	19715	5	72	PfG	572	Female	FALSE	TRUE
PfG.573	ERS1544688	3429STDY6396309	10G_SC_Pfal_5E	SC	19715	5	73	PfG	573	Female	FALSE	TRUE
PfG.574	ERS1544689	3429STDY6396310	10H_SC_Pfal_5E	SC	19715	5	74	PfG	574	Female	FALSE	TRUE
PfG.575	ERS1544690	3429STDY6396311	11A_SC_Pfal_2E	SC	19715	5	75	PfG	575	Female	FALSE	TRUE
PfG.576	ERS1544691	3429STDY6396312	11B_SC_Pfal_2E	SC	19715	5	76	PfG	576	Female	FALSE	TRUE
PfG.577	ERS1544692	3429STDY6396313	11C_SC_Pfal_2E	SC	19715	5	77	NA	NA	NA	FALSE	FALSE
PfG.578	ERS1544693	3429STDY6396314	11D_SC_Pfal_2E	SC	19715	5	78	NA	NA	NA	FALSE	FALSE
